PERIODO;UF;MUNICIPIO;NEGOCIO;CNPJ;ESPECIALIDADE
2020-Q4;GO;Goiânia;Restaurante;02.308.948/0001-34;Brasileira
2020-Q4;GO;Caldas Novas;Restaurante;03.038.290/0001-50;Cozinha regional
2020-Q4;MG;Gameleiras;;04.846.017/0001-15;
2020-Q4;MT;Ribeirão Cascalheira;;07.847.125/0001-09;
2020-Q4;GO;Goiânia;Restaurante;08.032.334/0001-59;Brasileira
2020-Q4;GO;Caldas Novas;Restaurante;09.191.005/0001-13;Brasileira
2020-Q4;MT;Ribeirão Cascalheira;;10.399.877/0001-50;
2020-Q4;MG;São José do Mantimento;;10.638.400/0001-80;
2020-Q4;MG;Carrancas;;10.705.070/0001-07;
2020-Q4;GO;Catalão;Restaurante;11.936.947/0001-25;Brasileira
2020-Q4;GO;Caiapônia;;12.241.010/0001-06;
2020-Q4;GO;Goiânia;Restaurante;13.358.691/0001-41;Brasileira
2020-Q4;GO;Aparecida de Goiânia;Bar;17.505.360/0001-48;Brasileira
2020-Q4;GO;Nova Crixás;Restaurante;18.788.168/0001-79;Brasileira
2020-Q4;GO;Rio Verde;Restaurante;19.144.052/0001-60;Brasileira
2020-Q4;MG;Juiz de Fora;;19.490.597/0001-28;
2020-Q4;MG;Uberlândia;Cafeteria;20.687.822/0001-08;Brasileira
2020-Q4;MG;Três Marias;;21.035.697/0001-06;
2020-Q4;RN;Tibau do Sul;;21.869.311/0001-61;
2020-Q4;CE;Fortaleza;;22.353.905/0001-88;
2020-Q4;GO;Abadiânia;Similar;22.478.661/0001-60;Cozinha regional
2020-Q4;GO;São Luís de Montes Belos;;29.065.942/0001-30;
2020-Q4;SC;Pomerode;;30.407.924/0002-59;
2020-Q4;TO;Palmas;;30.943.232/0001-44;
2020-Q4;BA;Prado;Restaurante;30.992.464/0001-92;Cozinha regional
2020-Q4;RJ;Maricá;;31.807.011/0001-01;
2020-Q4;GO;Pires do Rio;;32.610.520/0001-02;
2020-Q4;PA;Parauapebas;Restaurante;32.668.555/0001-00;Brasileira
2020-Q4;SP;Piracicaba;;33.072.951/0001-25;
2020-Q4;GO;Aparecida de Goiânia;Restaurante;34.919.229/0001-46;Brasileira
2020-Q4;GO;Abadia de Goiás;;35.721.692/0001-41;
2021-Q1;GO;Goiânia;Restaurante;02.308.948/0001-34;Brasileira
2021-Q1;GO;Caldas Novas;Restaurante;03.038.290/0001-50;Cozinha regional
2021-Q1;MG;Gameleiras;;04.846.017/0001-15;
2021-Q1;MT;Ribeirão Cascalheira;;07.847.125/0001-09;
2021-Q1;GO;Goiânia;Restaurante;08.032.334/0001-59;Brasileira
2021-Q1;GO;Caldas Novas;Restaurante;09.191.005/0001-13;Brasileira
2021-Q1;MT;Ribeirão Cascalheira;;10.399.877/0001-50;
2021-Q1;MG;São José do Mantimento;;10.638.400/0001-80;
2021-Q1;MG;Carrancas;;10.705.070/0001-07;
2021-Q1;GO;Catalão;Restaurante;11.936.947/0001-25;Brasileira
2021-Q1;GO;Caiapônia;;12.241.010/0001-06;
2021-Q1;GO;Goiânia;Restaurante;13.358.691/0001-41;Brasileira
2021-Q1;GO;Aparecida de Goiânia;Bar;17.505.360/0001-48;Brasileira
2021-Q1;GO;Nova Crixás;Restaurante;18.788.168/0001-79;Brasileira
2021-Q1;GO;Rio Verde;Restaurante;19.144.052/0001-60;Brasileira
2021-Q1;MG;Juiz de Fora;;19.490.597/0001-28;
2021-Q1;MG;Gonçalves;;20.313.199/0001-15;
2021-Q1;MG;Uberlândia;Cafeteria;20.687.822/0001-08;Brasileira
2021-Q1;MG;Três Marias;;21.035.697/0001-06;
2021-Q1;RN;Tibau do Sul;;21.869.311/0001-61;
2021-Q1;CE;Fortaleza;;22.353.905/0001-88;
2021-Q1;GO;Abadiânia;Similar;22.478.661/0001-60;Cozinha regional
2021-Q1;GO;São Luís de Montes Belos;;29.065.942/0001-30;
2021-Q1;SC;Pomerode;;30.407.924/0002-59;
2021-Q1;TO;Palmas;;30.943.232/0001-44;
2021-Q1;BA;Prado;Restaurante;30.992.464/0001-92;Cozinha regional
2021-Q1;RJ;Maricá;;31.807.011/0001-01;
2021-Q1;TO;Colinas do Tocantins;;32.345.494/0001-32;
2021-Q1;GO;Pires do Rio;;32.610.520/0001-02;
2021-Q1;PA;Parauapebas;Restaurante;32.668.555/0001-00;Brasileira
2021-Q1;SP;Piracicaba;;33.072.951/0001-25;
2021-Q1;GO;Aparecida de Goiânia;Restaurante;34.919.229/0001-46;Brasileira
2021-Q1;GO;Abadia de Goiás;;35.721.692/0001-41;
2021-Q1;RS;Santa Cruz do Sul;;40.460.845/0001-84;
2021-Q1;GO;Goiânia;Similar;40.499.457/0001-07;Brasileira
